run_id,issue_key,status_name,status_category,entered_at,exited_at,duration_seconds_bh,duration_seconds_24x7,interval_index
3,MEDA-3005,In Progress,In Progress,2022-10-18T20:08:05.938000+00:00,2022-11-28T14:58:22.727000+00:00,813016,3523816,0
3,MEDA-3005,Done,Done,2022-11-28T14:58:22.727000+00:00,2025-05-21T14:25:28.906000+00:00,18635225,78190026,1
3,MEDA-3005,Done,Done,2025-05-21T14:25:28.906000+00:00,2025-08-29T20:50:55.954456+00:00,2096726,8663127,2
3,MEDA-3001,In Progress,In Progress,2022-09-28T18:35:43.123000+00:00,2022-10-06T16:12:37.298000+00:00,164213,682614,3
3,MEDA-3001,Done,Done,2022-10-06T16:12:37.298000+00:00,2025-05-21T14:25:34.555000+00:00,19692776,82764777,4
3,MEDA-3001,Done,Done,2025-05-21T14:25:34.555000+00:00,2025-08-29T20:50:55.954456+00:00,2096720,8663121,5
3,MEDA-3000,In Progress,In Progress,2022-09-28T17:03:04.163000+00:00,2022-09-29T14:55:25.177000+00:00,21140,78741,6
3,MEDA-3000,Merged,In Progress,2022-09-29T14:55:25.177000+00:00,2022-10-10T12:54:47.269000+00:00,194674,943162,7
3,MEDA-3000,Done,Done,2022-10-10T12:54:47.269000+00:00,2025-05-21T14:25:35.505000+00:00,19646735,82431048,8
3,MEDA-3000,Done,Done,2025-05-21T14:25:35.505000+00:00,2025-08-29T20:50:55.954456+00:00,2096719,8663120,9
3,MEDA-2999,In Progress,In Progress,2022-09-21T18:16:29.798000+00:00,2022-09-26T14:21:48.950000+00:00,72318,417919,10
3,MEDA-2999,Done,Done,2022-09-26T14:21:48.950000+00:00,2025-05-21T14:25:19.302000+00:00,19929810,83635410,11
3,MEDA-2999,Done,Done,2025-05-21T14:25:19.302000+00:00,2025-08-29T20:50:55.954456+00:00,2096735,8663136,12
3,MEDA-2997,In Progress,In Progress,2022-09-20T18:45:08.397000+00:00,2022-09-20T19:36:22.165000+00:00,3073,3073,13
3,MEDA-2997,In Progress,In Progress,2022-09-20T19:36:22.165000+00:00,2022-09-20T21:42:55.320000+00:00,5017,7593,14
3,MEDA-2997,Peer Review,In Progress,2022-09-20T21:42:55.320000+00:00,2022-09-21T13:27:47.029000+00:00,1667,56691,15
3,MEDA-2997,DEV_QA,,2022-09-21T13:27:47.029000+00:00,2022-09-27T17:20:29.782000+00:00,129161,532362,16
3,MEDA-2997,Done,Done,2022-09-27T17:20:29.782000+00:00,2025-05-21T14:25:16.141000+00:00,19890286,83538286,17
3,MEDA-2997,Done,Done,2025-05-21T14:25:16.141000+00:00,2025-08-29T20:50:55.954456+00:00,2096738,8663139,18
3,MEDA-2995,Peer Review,In Progress,2022-09-20T17:28:09.981000+00:00,2022-09-21T13:36:10.185000+00:00,14880,72480,19
3,MEDA-2995,Done,Done,2022-09-21T13:36:10.185000+00:00,2025-05-21T14:25:15.029000+00:00,20018944,84070144,20
3,MEDA-2995,Done,Done,2025-05-21T14:25:15.029000+00:00,2025-08-29T20:50:55.954456+00:00,2096739,8663140,21
3,MEDA-2994,In Progress,In Progress,2022-09-19T17:44:53.294000+00:00,2022-09-20T13:42:18.080000+00:00,14244,71844,22
3,MEDA-2994,Peer Review,In Progress,2022-09-20T13:42:18.080000+00:00,2022-09-21T13:28:58.825000+00:00,27999,85600,23
3,MEDA-2994,Done,Done,2022-09-21T13:28:58.825000+00:00,2025-05-21T14:25:31.021000+00:00,20019392,84070592,24
3,MEDA-2994,Done,Done,2025-05-21T14:25:31.021000+00:00,2025-08-29T20:50:55.954456+00:00,2096723,8663124,25
3,MEDA-2991,Peer Review,In Progress,2022-09-16T15:36:10.534000+00:00,2022-09-30T14:17:12.004000+00:00,283261,1204861,26
3,MEDA-2991,Done,Done,2022-09-30T14:17:12.004000+00:00,2025-05-21T14:25:14.465000+00:00,19814881,83290082,27
3,MEDA-2991,Done,Done,2025-05-21T14:25:14.465000+00:00,2025-08-29T20:50:55.954456+00:00,2096740,8663141,28
3,MEDA-2990,In Progress,In Progress,2022-09-16T14:18:24.083000+00:00,2022-09-16T16:14:02.913000+00:00,6938,6938,29
3,MEDA-2990,Peer Review,In Progress,2022-09-16T16:14:02.913000+00:00,2022-09-19T13:34:37.192000+00:00,19234,249634,30
3,MEDA-2990,Done,Done,2022-09-19T13:34:37.192000+00:00,2025-05-21T14:25:13.522000+00:00,20076635,84243036,31
3,MEDA-2990,Done,Done,2025-05-21T14:25:13.522000+00:00,2025-08-29T20:50:55.954456+00:00,2096741,8663142,32
3,MEDA-2989,In Progress,In Progress,2022-09-15T22:55:48.713000+00:00,2022-09-16T23:09:42.469000+00:00,28800,87233,33
3,MEDA-2989,Done,Done,2022-09-16T23:09:42.469000+00:00,2025-05-21T14:25:09.684000+00:00,20078709,84467727,34
3,MEDA-2989,Done,Done,2025-05-21T14:25:09.684000+00:00,2025-08-29T20:50:55.954456+00:00,2096745,8663146,35
3,MEDA-2988,In Progress,In Progress,2022-09-15T21:55:52.813000+00:00,2022-09-15T22:36:31.551000+00:00,0,2438,36
3,MEDA-2988,Peer Review,In Progress,2022-09-15T22:36:31.551000+00:00,2022-09-16T14:51:50.709000+00:00,6710,58519,37
3,MEDA-2988,QA,In Progress,2022-09-16T14:51:50.709000+00:00,2022-09-19T15:50:28.154000+00:00,32317,262717,38
3,MEDA-2988,In Progress,In Progress,2022-09-19T15:50:28.154000+00:00,2022-09-21T16:30:18.880000+00:00,59989,175190,39
3,MEDA-2988,Peer Review,In Progress,2022-09-21T16:30:18.880000+00:00,2022-09-30T14:18:03.340000+00:00,193664,769664,40
3,MEDA-2988,INTEGRATION QA,,2022-09-30T14:18:03.340000+00:00,2022-09-30T14:19:34.779000+00:00,91,91,41
3,MEDA-2988,Waiting for approval,In Progress,2022-09-30T14:19:34.779000+00:00,2022-10-07T15:46:42.549000+00:00,149227,610027,42
3,MEDA-2988,Done,Done,2022-10-07T15:46:42.549000+00:00,2025-05-21T14:25:10.699000+00:00,19665507,82679908,43
3,MEDA-2988,Done,Done,2025-05-21T14:25:10.699000+00:00,2025-08-29T20:50:55.954456+00:00,2096744,8663145,44
3,MEDA-2987,In Progress,In Progress,2022-09-16T13:26:42.387000+00:00,2022-09-20T21:50:04.803000+00:00,84797,375802,45
3,MEDA-2987,Peer Review,In Progress,2022-09-20T21:50:04.803000+00:00,2022-09-21T13:37:23.232000+00:00,2243,56838,46
3,MEDA-2987,Done,Done,2022-09-21T13:37:23.232000+00:00,2025-05-21T14:25:11.297000+00:00,20018867,84070068,47
3,MEDA-2987,Done,Done,2025-05-21T14:25:11.297000+00:00,2025-08-29T20:50:55.954456+00:00,2096743,8663144,48
3,MEDA-2986,In Progress,In Progress,2022-09-15T19:58:23.889000+00:00,2022-09-16T22:41:17.074000+00:00,32496,96173,49
3,MEDA-2986,To Do,To Do,2022-09-16T22:41:17.074000+00:00,2022-09-19T17:24:25.713000+00:00,15865,240188,50
3,MEDA-2986,Peer Review,In Progress,2022-09-19T17:24:25.713000+00:00,2022-09-21T13:29:16.007000+00:00,43490,158690,51
3,MEDA-2986,Done,Done,2022-09-21T13:29:16.007000+00:00,2025-05-21T14:25:10.216000+00:00,20019353,84070554,52
3,MEDA-2986,Done,Done,2025-05-21T14:25:10.216000+00:00,2025-08-29T20:50:55.954456+00:00,2096744,8663145,53
3,MEDA-2984,In Progress,In Progress,2022-09-15T18:52:50.035000+00:00,2022-09-15T19:15:59.970000+00:00,1389,1389,54
3,MEDA-2984,Peer Review,In Progress,2022-09-15T19:15:59.970000+00:00,2022-09-15T22:09:27.909000+00:00,6240,10407,55
3,MEDA-2984,Merged,In Progress,2022-09-15T22:09:27.909000+00:00,2022-09-15T22:10:55.626000+00:00,0,87,56
3,MEDA-2984,QA,In Progress,2022-09-15T22:10:55.626000+00:00,2022-09-16T17:47:18.090000+00:00,17238,70582,57
3,MEDA-2984,Done,Done,2022-09-16T17:47:18.090000+00:00,2025-05-21T14:25:16.617000+00:00,20090277,84487078,58
3,MEDA-2984,Done,Done,2025-05-21T14:25:16.617000+00:00,2025-08-29T20:50:55.954456+00:00,2096738,8663139,59
3,MEDA-2983,In Progress,In Progress,2022-09-15T18:18:53.221000+00:00,2022-09-15T19:15:57.466000+00:00,3424,3424,60
3,MEDA-2983,Peer Review,In Progress,2022-09-15T19:15:57.466000+00:00,2022-09-15T22:09:17.898000+00:00,6242,10400,61
3,MEDA-2983,Merged,In Progress,2022-09-15T22:09:17.898000+00:00,2022-09-15T22:10:57.234000+00:00,0,99,62
3,MEDA-2983,QA,In Progress,2022-09-15T22:10:57.234000+00:00,2022-09-16T17:47:19.933000+00:00,17239,70582,63
3,MEDA-2983,Done,Done,2022-09-16T17:47:19.933000+00:00,2025-05-21T14:25:18.784000+00:00,20090278,84487078,64
3,MEDA-2983,Done,Done,2025-05-21T14:25:18.784000+00:00,2025-08-29T20:50:55.954456+00:00,2096736,8663137,65
3,MEDA-2982,In Progress,In Progress,2022-09-15T19:15:01.297000+00:00,2022-09-15T19:15:54.739000+00:00,53,53,66
3,MEDA-2982,Peer Review,In Progress,2022-09-15T19:15:54.739000+00:00,2022-09-15T22:09:38.633000+00:00,6245,10423,67
3,MEDA-2982,Merged,In Progress,2022-09-15T22:09:38.633000+00:00,2022-09-15T22:10:58.783000+00:00,0,80,68
3,MEDA-2982,QA,In Progress,2022-09-15T22:10:58.783000+00:00,2022-09-16T17:47:21.420000+00:00,17241,70582,69
3,MEDA-2982,Done,Done,2022-09-16T17:47:21.420000+00:00,2025-05-21T14:25:19.863000+00:00,20090277,84487078,70
3,MEDA-2982,Done,Done,2025-05-21T14:25:19.863000+00:00,2025-08-29T20:50:55.954456+00:00,2096735,8663136,71
3,MEDA-2981,In Progress,In Progress,2022-09-16T16:22:52.971000+00:00,2022-09-16T22:40:20.474000+00:00,16627,22647,72
3,MEDA-2981,Peer Review,In Progress,2022-09-16T22:40:20.474000+00:00,2022-09-20T14:04:42.778000+00:00,32682,314662,73
3,MEDA-2981,QA,In Progress,2022-09-20T14:04:42.778000+00:00,2022-09-27T18:29:09.348000+00:00,159866,620666,74
3,MEDA-2981,Done,Done,2022-09-27T18:29:09.348000+00:00,2025-05-21T14:25:17.685000+00:00,19886167,83534168,75
3,MEDA-2981,Done,Done,2025-05-21T14:25:17.685000+00:00,2025-08-29T20:50:55.954456+00:00,2096737,8663138,76
3,MEDA-2979,In Progress,In Progress,2022-09-15T18:29:27.977000+00:00,2022-09-15T19:15:49.262000+00:00,2781,2781,77
3,MEDA-2979,Peer Review,In Progress,2022-09-15T19:15:49.262000+00:00,2022-09-15T22:09:47.892000+00:00,6250,10438,78
3,MEDA-2979,Merged,In Progress,2022-09-15T22:09:47.892000+00:00,2022-09-15T22:11:00.243000+00:00,0,72,79
3,MEDA-2979,QA,In Progress,2022-09-15T22:11:00.243000+00:00,2022-09-16T17:47:23.679000+00:00,17243,70583,80
3,MEDA-2979,Done,Done,2022-09-16T17:47:23.679000+00:00,2025-05-21T14:25:20.992000+00:00,20090276,84487077,81
3,MEDA-2979,Done,Done,2025-05-21T14:25:20.992000+00:00,2025-08-29T20:50:55.954456+00:00,2096734,8663134,82
3,MEDA-2977,In Progress,In Progress,2022-09-15T18:01:03.274000+00:00,2022-09-15T19:18:10.941000+00:00,4627,4627,83
3,MEDA-2977,Peer Review,In Progress,2022-09-15T19:18:10.941000+00:00,2022-09-15T22:07:58.491000+00:00,6109,10187,84
3,MEDA-2977,Merged,In Progress,2022-09-15T22:07:58.491000+00:00,2022-09-15T22:11:01.645000+00:00,0,183,85
3,MEDA-2977,QA,In Progress,2022-09-15T22:11:01.645000+00:00,2022-09-16T17:47:25.228000+00:00,17245,70583,86
3,MEDA-2977,Done,Done,2022-09-16T17:47:25.228000+00:00,2025-05-21T14:25:20.384000+00:00,20090274,84487075,87
3,MEDA-2977,Done,Done,2025-05-21T14:25:20.384000+00:00,2025-08-29T20:50:55.954456+00:00,2096734,8663135,88
3,MEDA-2976,In Progress,In Progress,2022-09-15T14:32:52.768000+00:00,2022-09-19T15:10:06.725000+00:00,59833,347833,89
3,MEDA-2976,QA,In Progress,2022-09-19T15:10:06.725000+00:00,2022-09-19T18:34:04.737000+00:00,12238,12238,90
3,MEDA-2976,Done,Done,2022-09-19T18:34:04.737000+00:00,2025-05-21T14:25:15.599000+00:00,20058670,84225070,91
3,MEDA-2976,Done,Done,2025-05-21T14:25:15.599000+00:00,2025-08-29T20:50:55.954456+00:00,2096739,8663140,92
3,MEDA-2975,In Progress,In Progress,2022-09-14T21:20:07.788000+00:00,2022-09-15T13:25:15.658000+00:00,1515,57907,93
3,MEDA-2975,Peer Review,In Progress,2022-09-15T13:25:15.658000+00:00,2022-09-19T13:37:17.704000+00:00,58321,346322,94
3,MEDA-2975,Done,Done,2022-09-19T13:37:17.704000+00:00,2025-05-21T14:24:54.502000+00:00,20076456,84242856,95
3,MEDA-2975,Done,Done,2025-05-21T14:24:54.502000+00:00,2025-08-29T20:50:55.954456+00:00,2096760,8663161,96
3,MEDA-2974,In Progress,In Progress,2022-09-14T19:45:10.064000+00:00,2022-09-14T21:18:12.387000+00:00,4489,5582,97
3,MEDA-2974,Peer Review,In Progress,2022-09-14T21:18:12.387000+00:00,2022-09-15T17:38:45.783000+00:00,16725,73233,98
3,MEDA-2974,QA,In Progress,2022-09-15T17:38:45.783000+00:00,2022-09-27T17:20:22.254000+00:00,229296,1035696,99
3,MEDA-2974,Done,Done,2022-09-27T17:20:22.254000+00:00,2025-05-21T14:25:13.981000+00:00,19890290,83538291,100
3,MEDA-2974,Done,Done,2025-05-21T14:25:13.981000+00:00,2025-08-29T20:50:55.954456+00:00,2096741,8663141,101
3,MEDA-2970,In Progress,In Progress,2022-09-14T19:34:34.569000+00:00,2022-09-14T21:26:21.585000+00:00,5125,6707,102
3,MEDA-2970,Peer Review,In Progress,2022-09-14T21:26:21.585000+00:00,2022-09-19T13:38:21.560000+00:00,59901,403919,103
3,MEDA-2970,Done,Done,2022-09-19T13:38:21.560000+00:00,2025-05-21T14:25:22.592000+00:00,20076420,84242821,104
3,MEDA-2970,Done,Done,2025-05-21T14:25:22.592000+00:00,2025-08-29T20:50:55.954456+00:00,2096732,8663133,105
3,MEDA-2968,In Progress,In Progress,2022-09-15T13:24:27.721000+00:00,2022-09-15T19:17:59.435000+00:00,21211,21211,106
3,MEDA-2968,Peer Review,In Progress,2022-09-15T19:17:59.435000+00:00,2022-09-19T13:41:28.561000+00:00,37408,325409,107
3,MEDA-2968,Done,Done,2022-09-19T13:41:28.561000+00:00,2025-05-21T14:25:17.123000+00:00,20076228,84242628,108
3,MEDA-2968,Done,Done,2025-05-21T14:25:17.123000+00:00,2025-08-29T20:50:55.954456+00:00,2096737,8663138,109
3,MEDA-2966,In Progress,In Progress,2022-09-14T13:35:41.867000+00:00,2022-09-27T17:29:26.899000+00:00,273224,1137225,110
3,MEDA-2966,Merged,In Progress,2022-09-27T17:29:26.899000+00:00,2022-10-10T12:54:42.646000+00:00,243033,1106715,111
3,MEDA-2966,Done,Done,2022-10-10T12:54:42.646000+00:00,2025-05-21T14:25:01.379000+00:00,19646701,82431018,112
3,MEDA-2966,Done,Done,2025-05-21T14:25:01.379000+00:00,2025-08-29T20:50:55.954456+00:00,2096753,8663154,113
3,MEDA-2965,Peer Review,In Progress,2022-09-13T21:45:33.342000+00:00,2022-09-13T21:47:54.096000+00:00,0,140,114
3,MEDA-2965,Peer Review,In Progress,2022-09-13T21:47:54.096000+00:00,2022-09-14T19:18:04.707000+00:00,22684,77410,115
3,MEDA-2965,Merged,In Progress,2022-09-14T19:18:04.707000+00:00,2022-09-15T13:13:01.643000+00:00,6896,64496,116
3,MEDA-2965,Done,Done,2022-09-15T13:13:01.643000+00:00,2025-05-21T14:26:01.434000+00:00,20135579,84589979,117
3,MEDA-2965,Done,Done,2025-05-21T14:26:01.434000+00:00,2025-08-29T20:50:55.954456+00:00,2096693,8663094,118
3,MEDA-2964,In Progress,In Progress,2022-09-13T14:57:30.386000+00:00,2022-09-14T16:42:17.343000+00:00,35086,92686,119
3,MEDA-2964,Peer Review,In Progress,2022-09-14T16:42:17.343000+00:00,2022-09-14T19:16:32.306000+00:00,9254,9254,120
3,MEDA-2964,Merged,In Progress,2022-09-14T19:16:32.306000+00:00,2022-09-15T13:13:03.768000+00:00,6990,64591,121
3,MEDA-2964,Done,Done,2022-09-15T13:13:03.768000+00:00,2025-05-21T14:25:25.262000+00:00,20135541,84589941,122
3,MEDA-2964,Done,Done,2025-05-21T14:25:25.262000+00:00,2025-08-29T20:50:55.954456+00:00,2096729,8663130,123
3,MEDA-2962,In Progress,In Progress,2022-09-12T19:07:26.697000+00:00,2022-09-13T20:31:28.660000+00:00,33841,91441,124
3,MEDA-2962,Peer Review,In Progress,2022-09-13T20:31:28.660000+00:00,2022-10-17T20:00:37.008000+00:00,689348,2935748,125
3,MEDA-2962,Done,Done,2022-10-17T20:00:37.008000+00:00,2025-05-21T14:26:00.869000+00:00,19477522,81800723,126
3,MEDA-2962,Done,Done,2025-05-21T14:26:00.869000+00:00,2025-08-29T20:50:55.954456+00:00,2096694,8663095,127
3,MEDA-2961,In Progress,In Progress,2022-09-12T22:10:01.720000+00:00,2022-09-13T10:43:28.386000+00:00,0,45206,128
3,MEDA-2961,Peer Review,In Progress,2022-09-13T10:43:28.386000+00:00,2022-09-14T19:19:57.734000+00:00,51597,117389,129
3,MEDA-2961,Merged,In Progress,2022-09-14T19:19:57.734000+00:00,2022-09-15T13:13:05.681000+00:00,6787,64387,130
3,MEDA-2961,Done,Done,2022-09-15T13:13:05.681000+00:00,2025-05-21T14:26:02.004000+00:00,20135576,84589976,131
3,MEDA-2961,Done,Done,2025-05-21T14:26:02.004000+00:00,2025-08-29T20:50:55.954456+00:00,2096692,8663093,132
3,MEDA-2960,In Progress,In Progress,2022-09-12T19:55:18.405000+00:00,2022-09-12T22:07:16.296000+00:00,3881,7917,133
3,MEDA-2960,Peer Review,In Progress,2022-09-12T22:07:16.296000+00:00,2022-09-14T18:20:57.914000+00:00,48057,159221,134
3,MEDA-2960,Done,Done,2022-09-14T18:20:57.914000+00:00,2022-09-14T18:21:16.667000+00:00,18,18,135
3,MEDA-2960,Peer Review,In Progress,2022-09-14T18:21:16.667000+00:00,2022-09-14T19:19:59.785000+00:00,3523,3523,136
3,MEDA-2960,Merged,In Progress,2022-09-14T19:19:59.785000+00:00,2022-09-15T13:13:07.491000+00:00,6787,64387,137
3,MEDA-2960,Done,Done,2022-09-15T13:13:07.491000+00:00,2025-05-21T14:26:04.319000+00:00,20135576,84589976,138
3,MEDA-2960,Done,Done,2025-05-21T14:26:04.319000+00:00,2025-08-29T20:50:55.954456+00:00,2096690,8663091,139
3,MEDA-2959,In Progress,In Progress,2022-09-13T15:25:35.876000+00:00,2022-09-14T20:32:34.612000+00:00,47218,104818,140
3,MEDA-2959,Peer Review,In Progress,2022-09-14T20:32:34.612000+00:00,2022-09-19T13:41:49.858000+00:00,61754,407355,141
3,MEDA-2959,Done,Done,2022-09-19T13:41:49.858000+00:00,2025-05-21T14:24:44.041000+00:00,20076174,84242574,142
3,MEDA-2959,Done,Done,2025-05-21T14:24:44.041000+00:00,2025-08-29T20:50:55.954456+00:00,2096770,8663171,143
3,MEDA-2958,In Progress,In Progress,2022-09-12T13:58:46.202000+00:00,2022-09-16T22:40:45.414000+00:00,140473,376919,144
3,MEDA-2958,Done,Done,2022-09-16T22:40:45.414000+00:00,2025-05-21T14:24:28.977000+00:00,20078668,84469423,145
3,MEDA-2958,Done,Done,2025-05-21T14:24:28.977000+00:00,2025-08-29T20:50:55.954456+00:00,2096786,8663186,146
3,MEDA-2957,In Progress,In Progress,2022-09-12T17:19:59.751000+00:00,2022-09-12T17:20:04.092000+00:00,4,4,147
3,MEDA-2957,Peer Review,In Progress,2022-09-12T17:20:04.092000+00:00,2022-09-20T18:43:15.470000+00:00,177790,696191,148
3,MEDA-2957,Done,Done,2022-09-20T18:43:15.470000+00:00,2025-05-21T14:26:02.594000+00:00,20029366,84138167,149
3,MEDA-2957,Done,Done,2025-05-21T14:26:02.594000+00:00,2025-08-29T20:50:55.954456+00:00,2096692,8663093,150
3,MEDA-2956,Done,Done,2022-10-17T20:00:42.137000+00:00,2025-05-21T14:25:54.400000+00:00,19477511,81800712,151
3,MEDA-2956,Done,Done,2025-05-21T14:25:54.400000+00:00,2025-08-29T20:50:55.954456+00:00,2096700,8663101,152
